,rosbagTimestamp,secs,nsecs,frame_id,child_frame_id,x,y,z,qx,qy,qz,qw
611,1.60600529522684e+18,1603863769,607414007,"""world""","""camera_link""",-0.0021395413602799456,0.0033765441310103323,0.2565513319179995,0.002018494343798307,0.7074152281851467,-0.004361544401218455,-0.7067818599417907
615,1.60600529531684e+18,1603863769,711162090,"""world""","""camera_link""",-0.0034180519419499448,0.003740764274830332,0.30929933081299954,0.0033914976226463666,0.7078409635036694,-0.004533242007189917,-0.706349147268528
619,1.60600529541965e+18,1603863769,814770936,"""world""","""camera_link""",-0.0034608629215999455,0.004598109894680332,0.3634760765679995,0.004361974281976458,0.7090015342413291,-0.004702080113335174,-0.7051777705418774
625,1.6060052955396e+18,1603863769,918503999,"""world""","""camera_link""",-0.003862484114859945,0.005624023149910332,0.4182108876419995,0.00664704188809366,0.7097376978377075,-0.004145582643009053,-0.7044224806511494
629,1.60600529564395e+18,1603863770,22125005,"""world""","""camera_link""",-0.004750405298129945,0.006628118947880332,0.47220910071699945,0.007175695084610587,0.7094226608256449,-0.004379708579892467,-0.7047331522355605
633,1.60600529574488e+18,1603863770,125868082,"""world""","""camera_link""",-0.005846201171989946,0.007475986193610331,0.5268555413759994,0.007499138076405577,0.7087759975194099,-0.0054052779198748265,-0.7053730440264111
637,1.60600529585502e+18,1603863770,229482889,"""world""","""camera_link""",-0.006087318126059945,0.00882731754721033,0.5803137975369995,0.008252673408149934,0.7085312235970518,-0.0055282904645213805,-0.7056095496620087
641,1.60600529595851e+18,1603863770,333219051,"""world""","""camera_link""",-0.007206581106369945,0.00993375108405033,0.6345765635829994,0.008479154081850713,0.7082940640054042,-0.006243390812665384,-0.7058389638663518
645,1.60600529606093e+18,1603863770,436841011,"""world""","""camera_link""",-0.008110089930819946,0.01089369871200033,0.6904686572859994,0.009146874574342382,0.7084622281168285,-0.007141759287380538,-0.7056533152274855
649,1.60600529616201e+18,1603863770,540452003,"""world""","""camera_link""",-0.008726188630959945,0.01180521540010033,0.7453539554249995,0.008962763246805238,0.7087986140978951,-0.008196408831190938,-0.7053063252305036
653,1.60600529625454e+18,1603863770,644190073,"""world""","""camera_link""",-0.009336533203519947,0.01399712628310033,0.8020330182389993,0.009132393482730957,0.7081217574027063,-0.008038875149236076,-0.7059855186677092
657,1.60600529637005e+18,1603863770,748034000,"""world""","""camera_link""",-0.010089765285699947,0.01558697566960033,0.8573347769249993,-0.00970496362611296,-0.7069897674893272,0.007664530500187699,0.7071156463539853
661,1.60600529647405e+18,1603863770,851568937,"""world""","""camera_link""",-0.011088870120899945,0.01641274388610033,0.9141645505069993,-0.009685299290838816,-0.7054418824254051,0.007525966072960556,0.708661629645924
665,1.60600529657856e+18,1603863770,955286026,"""world""","""camera_link""",-0.011449362166799945,0.016689364809700333,0.9684063454949994,-0.008863514610728705,-0.7045187333423347,0.0075570079447771265,0.7095897998910218
669,1.60600529667764e+18,1603863771,58969974,"""world""","""camera_link""",-0.011004459376399947,0.018212760430000332,1.0259208157999993,-0.008404856668526514,-0.7045305534340447,0.006856348432321412,0.7095907610365815
673,1.6060052967827e+18,1603863771,162642955,"""world""","""camera_link""",-0.010899908165299947,0.020359137225400333,1.0813231268699994,-0.008043078303392253,-0.7056717740854084,0.0058001327764126715,0.7084694874236531
677,1.60600529689265e+18,1603863771,266258955,"""world""","""camera_link""",-0.011105583984399947,0.02208898184620033,1.1388235224699994,0.008030092667836263,0.7074597035023203,-0.004884768588830786,-0.7066911804798393
681,1.60600529697768e+18,1603863771,369870901,"""world""","""camera_link""",-0.011259619285199949,0.023980170702500324,1.1955244248999992,0.007197691331972997,0.7085952487123405,-0.004648668644774757,-0.7055631485711376
685,1.60600529707859e+18,1603863771,473486900,"""world""","""camera_link""",-0.012101070756599948,0.025000871377400327,1.2537655751399994,0.005955312783691683,0.7080790801058632,-0.005295293501103089,-0.7060881746870005
689,1.60600529719863e+18,1603863771,577126979,"""world""","""camera_link""",-0.012856704388699947,0.02444231436370033,1.3111597929899992,-0.005542124201810758,-0.706278178279211,0.006431617890562647,0.7078835031537608
693,1.60600529730414e+18,1603863771,680747032,"""world""","""camera_link""",-0.013136430345999945,0.025097368528300322,1.3694562884899995,-0.004515633542523357,-0.7051191406350755,0.008188218330269687,0.7090271924576224
697,1.60600529740642e+18,1603863771,784457921,"""world""","""camera_link""",-0.013816380381699949,0.025064242576500327,1.4280506918199996,-0.0026533809586538845,-0.7051924611605143,0.010912415261069812,0.7089269860042253
701,1.60600529750952e+18,1603863771,888072967,"""world""","""camera_link""",-0.013991916400999947,0.026084777799100328,1.4859007142999994,-0.0025274256305804475,-0.7066814939578814,0.012071795736544292,0.707424306880131
705,1.60600529761222e+18,1603863771,991689920,"""world""","""camera_link""",-0.014029648312799946,0.02732799964250033,1.544338269469999,0.0031809120730570545,0.7083110513225132,-0.012484144867933264,-0.7057828862332212
709,1.60600529771749e+18,1603863772,95309019,"""world""","""camera_link""",-0.014829237413499948,0.029009265644600327,1.6030725813799989,0.004254613716016963,0.7084558478191663,-0.012890300184581854,-0.7056245815687724
713,1.60600529782261e+18,1603863772,199090003,"""world""","""camera_link""",-0.015554338430999947,0.030713790686800326,1.664065853989999,0.004671627117349165,0.7080745592729601,-0.012980417134386017,-0.706002905929924
717,1.60600529792479e+18,1603863772,302661895,"""world""","""camera_link""",-0.016493800682899948,0.032415542262900325,1.723730751459999,-0.006034617372781845,-0.7069883111660411,0.012442920564820341,0.7070900119472561
